"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Christian Yelich","MIL",".373","2.20","24.7%","51.8%","23.5%","4.9%","35.0%","15","6.6%","1","33.3%","34.9%","38.1%","27.0%","14.5%","37.9%","47.6%","11477"
"Shohei Ohtani","LAA",".350","1.32","23.6%","43.6%","32.9%","5.4%","29.7%","9","9.2%","0","0.0%","36.9%","37.3%","25.8%","10.2%","46.7%","43.1%","19755"
"Franmil Reyes","SDP",".345","1.65","21.0%","49.2%","29.8%","7.4%","29.6%","6","6.7%","0","0.0%","33.7%","43.1%","23.2%","14.9%","40.9%","44.2%","14566"
"J.D. Martinez","BOS",".375","1.28","22.6%","43.5%","34.0%","2.7%","29.5%","15","8.0%","0","0.0%","37.7%","30.9%","31.4%","10.9%","44.2%","44.9%","6184"
"Max Muncy","LAD",".299","0.76","20.8%","34.3%","44.9%","5.9%","29.4%","5","5.5%","0","0.0%","44.7%","31.2%","24.1%","12.4%","40.2%","47.4%","13301"
"Tyler Austin","- - -",".289","1.00","23.7%","38.2%","38.2%","5.2%","29.3%","1","1.7%","0","0.0%","38.2%","34.2%","27.6%","13.8%","50.0%","36.2%","11850"
"Aaron Judge","NYY",".368","1.19","23.3%","41.7%","35.0%","5.4%","29.0%","10","9.0%","0","0.0%","40.2%","31.2%","28.6%","13.5%","38.3%","48.1%","15640"
"Joey Gallo","TEX",".249","0.59","20.6%","29.6%","49.8%","11.7%","27.6%","2","2.3%","2","100.0%","45.1%","31.4%","23.5%","12.6%","38.9%","48.5%","14128"
"Daniel Palka","CHW",".308","1.21","16.3%","45.8%","37.9%","10.0%","27.0%","12","9.9%","0","0.0%","45.5%","33.7%","20.8%","20.5%","43.2%","36.4%","14897"
"Giancarlo Stanton","NYY",".333","1.23","18.5%","45.0%","36.5%","13.2%","25.0%","24","12.8%","0","0.0%","38.9%","37.0%","24.0%","19.0%","38.7%","42.3%","4949"
"Ian Desmond","COL",".279","2.88","16.5%","62.0%","21.5%","7.9%","24.7%","17","6.6%","0","0.0%","30.0%","40.8%","29.2%","21.5%","44.4%","34.1%","6885"
"Juan Soto","WSN",".338","1.87","17.5%","53.7%","28.8%","7.9%","24.7%","7","4.2%","5","71.4%","36.1%","36.4%","27.5%","20.3%","44.9%","34.8%","20123"
"Mike Trout","LAA",".346","0.69","23.4%","31.3%","45.3%","9.4%","24.5%","11","10.0%","0","0.0%","40.2%","37.3%","22.5%","16.0%","39.6%","44.4%","10155"
"Kyle Schwarber","CHC",".288","1.18","19.2%","43.7%","37.1%","9.4%","24.5%","6","4.8%","3","60.0%","43.6%","33.3%","23.0%","16.8%","43.0%","40.2%","16478"
"Javier Baez","CHC",".347","1.41","22.1%","45.6%","32.3%","11.4%","24.3%","25","12.6%","4","40.0%","40.5%","33.3%","26.1%","19.4%","44.8%","35.8%","12979"
"Khris Davis","OAK",".261","0.72","15.9%","35.3%","48.8%","7.0%","24.1%","6","4.2%","0","0.0%","35.8%","40.2%","24.0%","10.8%","43.9%","45.3%","9112"
"Nelson Cruz","SEA",".264","1.14","17.5%","44.0%","38.5%","11.0%","24.0%","4","2.3%","0","0.0%","40.8%","34.8%","24.5%","16.3%","41.5%","42.3%","2434"
"Jesus Aguilar","MIL",".309","0.86","23.7%","35.4%","40.9%","6.1%","23.8%","1","0.8%","0","0.0%","43.5%","33.4%","23.1%","15.3%","40.7%","44.0%","11342"
"Eugenio Suarez","CIN",".322","1.03","24.6%","38.4%","37.1%","2.8%","23.4%","9","6.0%","0","0.0%","42.7%","35.8%","21.5%","8.4%","43.0%","48.6%","12552"
"David Peralta","ARI",".328","1.73","20.1%","50.7%","29.2%","5.5%","23.4%","13","5.9%","0","0.0%","39.0%","34.7%","26.3%","16.4%","34.9%","48.6%","2136"
"Jake Cave","MIN",".363","1.43","25.7%","43.7%","30.6%","0.0%","23.2%","3","3.8%","0","0.0%","35.5%","43.0%","21.5%","8.6%","53.8%","37.6%","14477"
"David Dahl","COL",".311","1.04","23.0%","39.3%","37.7%","2.9%","23.2%","3","4.2%","0","0.0%","45.4%","33.3%","21.3%","15.8%","46.4%","37.7%","13744"
"Bryce Harper","WSN",".289","1.05","22.2%","39.8%","38.0%","3.4%","23.1%","7","4.5%","1","33.3%","42.3%","29.5%","28.2%","11.8%","45.9%","42.3%","11579"
"Justin Upton","LAA",".321","1.18","21.8%","42.4%","35.8%","9.2%","23.1%","19","12.3%","0","0.0%","46.6%","32.5%","20.9%","16.8%","39.4%","43.8%","5222"
"Eric Thames","MIL",".284","0.71","20.0%","33.3%","46.7%","7.1%","22.9%","5","10.0%","0","0.0%","44.0%","34.0%","22.0%","12.0%","42.0%","46.0%","3711"
"Alex Avila","ARI",".253","1.68","21.7%","49.1%","29.2%","0.0%","22.6%","0","0.0%","0","0.0%","50.0%","27.4%","22.6%","12.3%","36.8%","50.9%","7476"
"Ryan Braun","MIL",".274","1.70","23.1%","48.4%","28.4%","5.5%","22.0%","10","6.5%","2","66.7%","39.6%","34.4%","26.0%","16.4%","40.6%","43.0%","3410"
"Mark Reynolds","WSN",".288","0.98","17.9%","40.7%","41.4%","16.7%","21.7%","6","10.2%","0","0.0%","48.3%","33.8%","17.9%","17.2%","46.9%","35.9%","7619"
"Paul Goldschmidt","ARI",".359","1.06","25.0%","38.6%","36.4%","11.8%","21.6%","12","7.4%","0","0.0%","37.9%","36.4%","25.7%","16.9%","36.9%","46.2%","9218"
"C.J. Cron","TBR",".293","1.04","21.1%","40.2%","38.8%","18.6%","21.4%","8","5.5%","0","0.0%","45.4%","33.5%","21.1%","21.3%","39.1%","39.6%","12546"
"Avisail Garcia","CHW",".271","1.40","17.4%","48.3%","34.4%","7.9%","21.3%","13","10.4%","0","0.0%","47.9%","32.8%","19.3%","17.4%","44.4%","38.2%","5760"
"Ronald Acuna Jr.","ATL",".352","1.07","18.3%","42.3%","39.4%","8.9%","21.1%","11","8.3%","0","0.0%","43.8%","36.1%","20.1%","13.7%","41.9%","44.4%","18401"
"Tommy Pham","- - -",".342","1.71","23.9%","48.0%","28.1%","5.0%","21.0%","14","8.2%","0","0.0%","37.8%","39.8%","22.4%","12.6%","38.9%","48.5%","2967"
"Trey Mancini","BAL",".285","2.06","18.9%","54.6%","26.5%","7.0%","20.9%","11","4.6%","0","0.0%","38.0%","35.7%","26.3%","20.3%","46.1%","33.6%","15149"
"Ji-Man Choi","- - -",".315","1.23","21.3%","43.4%","35.3%","14.6%","20.8%","3","5.1%","1","100.0%","41.6%","30.7%","27.7%","13.9%","42.3%","43.8%","5452"
"Charlie Culberson","ATL",".340","1.84","20.3%","51.7%","28.0%","10.3%","20.7%","11","10.3%","3","60.0%","42.5%","31.6%","25.9%","21.7%","46.7%","31.6%","3298"
"Nolan Arenado","COL",".314","1.03","21.3%","39.9%","38.8%","12.0%","20.7%","8","4.2%","0","0.0%","39.8%","36.8%","23.4%","15.4%","41.7%","42.9%","9777"
"Miguel Sano","MIN",".286","1.06","15.0%","43.8%","41.2%","7.9%","20.6%","9","13.4%","0","0.0%","42.5%","33.3%","24.2%","15.0%","42.5%","42.5%","12164"
"Hunter Renfroe","SDP",".271","0.88","19.7%","37.5%","42.8%","15.6%","20.3%","11","9.8%","0","0.0%","48.8%","33.1%","18.1%","18.1%","34.8%","47.2%","15464"
"Scott Schebler","CIN",".301","1.64","21.6%","48.8%","29.7%","8.3%","20.2%","8","5.8%","0","0.0%","44.9%","34.6%","20.5%","15.9%","45.9%","38.2%","12225"
"Mike Zunino","SEA",".268","0.85","18.7%","37.3%","44.0%","13.1%","20.2%","6","7.1%","0","0.0%","58.7%","21.8%","19.6%","17.8%","42.7%","39.6%","13265"
"Matt Adams","- - -",".245","0.78","20.6%","34.8%","44.6%","10.6%","20.2%","6","7.4%","0","0.0%","48.1%","30.0%","21.9%","18.5%","42.5%","39.1%","9393"
"Wilson Ramos","- - -",".353","2.23","20.4%","54.9%","24.7%","8.0%","20.0%","8","4.8%","0","0.0%","40.1%","32.2%","27.6%","17.4%","43.4%","39.1%","1433"
"Mark Trumbo","BAL",".303","1.22","22.9%","42.4%","34.7%","10.6%","20.0%","8","7.7%","0","0.0%","33.1%","40.4%","26.5%","18.0%","42.0%","40.0%","6876"
"David Freese","- - -",".360","1.98","22.3%","51.7%","26.1%","5.5%","20.0%","10","9.2%","0","0.0%","36.0%","33.6%","30.3%","16.1%","47.9%","36.0%","9549"
"Yasiel Puig","LAD",".286","1.18","21.3%","42.6%","36.1%","17.4%","20.0%","12","8.8%","0","0.0%","41.9%","35.0%","23.1%","24.1%","37.5%","38.4%","14225"
"Nomar Mazara","TEX",".298","2.07","18.4%","55.1%","26.6%","7.0%","20.0%","17","8.2%","0","0.0%","38.0%","36.7%","25.3%","18.4%","44.1%","37.5%","14553"
"Trevor Story","COL",".345","0.80","22.7%","34.3%","43.1%","10.2%","19.9%","21","14.2%","0","0.0%","43.3%","34.3%","22.4%","15.9%","39.6%","44.5%","12564"
"Adalberto Mondesi","KCR",".335","1.10","21.2%","41.3%","37.6%","12.7%","19.7%","8","10.3%","4","30.8%","41.6%","40.6%","17.8%","17.8%","39.1%","43.1%","13769"
"Michael Conforto","NYM",".289","1.20","19.6%","43.8%","36.6%","8.5%","19.7%","13","7.6%","0","0.0%","43.0%","31.7%","25.3%","17.8%","46.4%","35.8%","16376"
"Edwin Encarnacion","CLE",".265","0.82","20.3%","36.0%","43.7%","11.0%","19.5%","7","5.2%","0","0.0%","45.6%","31.5%","22.9%","15.2%","42.4%","42.4%","2151"
"Eric Hosmer","SDP",".302","3.06","19.9%","60.4%","19.7%","9.7%","19.4%","17","6.0%","0","0.0%","31.8%","39.2%","29.0%","23.5%","41.9%","34.5%","3516"
"David Bote","CHC",".314","2.35","18.1%","57.5%","24.4%","6.5%","19.4%","9","12.3%","0","0.0%","35.4%","38.6%","26.0%","18.1%","43.3%","38.6%","14593"
"Matt Carpenter","STL",".291","0.56","26.7%","26.4%","46.9%","2.1%","19.1%","6","5.7%","8","88.9%","48.3%","29.3%","22.4%","9.3%","41.7%","49.0%","8090"
"Aaron Hicks","NYY",".264","1.04","21.6%","40.0%","38.4%","12.0%","19.0%","11","7.4%","2","28.6%","45.4%","36.9%","17.8%","18.6%","41.9%","39.5%","5297"
"Stephen Piscotty","OAK",".290","1.36","22.2%","44.9%","33.0%","4.9%","18.8%","15","7.7%","0","0.0%","39.4%","36.8%","23.8%","12.8%","44.6%","42.6%","13367"
"Shin-Soo Choo","TEX",".330","1.80","21.8%","50.2%","28.0%","2.7%","18.6%","12","5.9%","1","33.3%","38.1%","35.1%","26.8%","14.5%","43.5%","42.0%","3174"
"Joc Pederson","LAD",".253","0.90","17.0%","39.4%","43.6%","10.3%","18.4%","7","5.7%","0","0.0%","42.7%","34.4%","22.9%","15.6%","42.4%","42.0%","11899"
"Matt Davidson","CHW",".313","1.03","18.8%","41.2%","40.1%","11.9%","18.3%","5","4.5%","0","0.0%","38.6%","34.9%","26.5%","18.0%","42.6%","39.3%","7226"
"Justin Bour","- - -",".270","1.23","19.0%","44.7%","36.3%","16.5%","18.3%","3","2.2%","1","50.0%","41.7%","36.4%","21.9%","22.8%","39.7%","37.4%","9744"
"Travis Shaw","MIL",".242","0.84","18.1%","37.4%","44.5%","9.7%","18.3%","5","3.4%","3","75.0%","45.8%","32.5%","21.7%","19.9%","40.3%","39.8%","11982"
"Gary Sanchez","NYY",".197","1.00","14.3%","42.9%","42.9%","19.2%","18.2%","2","2.0%","0","0.0%","51.1%","30.7%","18.2%","19.5%","45.0%","35.5%","11442"
"Nick Williams","PHI",".312","1.37","24.4%","43.7%","31.9%","5.3%","18.1%","2","1.6%","0","0.0%","34.8%","40.2%","25.0%","16.9%","53.0%","30.1%","14330"
"Yasmani Grandal","LAD",".278","0.98","17.2%","41.1%","41.7%","11.3%","18.0%","3","2.3%","0","0.0%","48.3%","32.9%","18.8%","19.7%","39.5%","40.8%","11368"
"Kendrys Morales","TOR",".272","1.26","18.0%","45.8%","36.2%","3.4%","17.9%","3","2.0%","0","0.0%","37.2%","35.9%","26.9%","13.6%","45.8%","40.6%","8610"
"Jonathan Villar","- - -",".339","2.29","19.7%","55.9%","24.4%","10.3%","17.9%","18","10.1%","6","54.5%","38.4%","35.3%","26.3%","23.3%","45.9%","30.8%","10071"
"Gleyber Torres","NYY",".321","0.77","24.5%","32.8%","42.7%","8.2%","17.9%","6","5.8%","0","0.0%","42.2%","32.7%","25.1%","14.0%","47.6%","38.4%","16997"
"Ian Happ","CHC",".362","1.05","22.5%","39.6%","37.8%","6.0%","17.9%","5","5.7%","0","0.0%","36.0%","36.5%","27.5%","17.6%","44.1%","38.3%","17919"
"Max Stassi","HOU",".302","1.69","17.7%","51.7%","30.6%","13.3%","17.8%","6","7.9%","0","0.0%","45.6%","37.4%","17.0%","21.1%","42.9%","36.1%","10059"
"Charlie Blackmon","COL",".329","1.30","23.2%","43.4%","33.4%","4.9%","17.7%","10","4.7%","2","50.0%","40.8%","37.0%","22.2%","16.0%","48.3%","35.8%","7859"
"Randal Grichuk","TOR",".282","0.75","18.4%","35.1%","46.6%","16.9%","17.6%","8","7.5%","0","0.0%","49.8%","26.9%","23.3%","21.6%","42.0%","36.4%","10243"
"Austin Romine","NYY",".292","1.51","19.2%","48.6%","32.2%","7.0%","17.5%","4","4.7%","1","50.0%","27.4%","39.7%","33.0%","17.9%","46.4%","35.8%","5491"
"Jake Marisnick","HOU",".292","0.70","23.0%","31.7%","45.2%","14.0%","17.5%","4","10.0%","2","40.0%","35.1%","35.9%","29.0%","20.6%","50.4%","29.0%","11339"
"Brandon Nimmo","NYM",".351","1.35","21.6%","45.0%","33.3%","12.4%","17.5%","9","6.9%","1","50.0%","44.7%","32.1%","23.2%","18.4%","44.4%","37.2%","12927"
"Steve Pearce","- - -",".303","1.22","20.5%","43.8%","35.8%","11.1%","17.5%","7","9.1%","0","0.0%","54.0%","29.0%","17.0%","16.5%","46.6%","36.9%","9957"
"Wil Myers","SDP",".327","1.51","27.5%","43.6%","28.9%","6.3%","17.5%","12","12.6%","1","100.0%","50.2%","33.3%","16.4%","12.3%","41.1%","46.6%","10047"
"Maikel Franco","PHI",".270","1.46","17.1%","49.2%","33.7%","19.0%","17.5%","9","4.9%","0","0.0%","44.4%","34.0%","21.7%","28.3%","44.1%","27.5%","12179"
"Lourdes Gurriel Jr.","TOR",".326","1.30","23.7%","43.2%","33.2%","3.2%","17.5%","5","6.1%","2","66.7%","45.1%","26.9%","28.0%","15.5%","53.9%","30.6%","19238"
"Tyler White","HOU",".307","0.91","18.5%","38.9%","42.6%","14.5%","17.4%","5","7.9%","0","0.0%","42.0%","37.7%","20.4%","21.0%","46.3%","32.7%","15564"
"Francisco Lindor","CLE",".279","0.98","21.6%","38.8%","39.6%","10.5%","17.3%","15","6.9%","1","25.0%","40.4%","34.6%","25.0%","16.1%","42.3%","41.6%","12916"
"Ryon Healy","SEA",".257","1.21","19.2%","44.2%","36.6%","11.5%","17.3%","6","3.6%","1","50.0%","44.8%","34.8%","20.4%","17.5%","48.2%","34.3%","15447"
"Christian Villanueva","SDP",".276","0.68","20.6%","32.3%","47.2%","16.2%","17.1%","2","2.5%","0","0.0%","50.0%","30.2%","19.8%","23.4%","44.4%","32.3%","11738"
"A.J. Pollock","ARI",".284","1.10","19.4%","42.2%","38.4%","8.1%","17.1%","10","7.4%","0","0.0%","48.6%","32.7%","18.7%","11.2%","44.2%","44.5%","9256"
"Josh Donaldson","- - -",".302","1.36","17.2%","47.8%","35.1%","10.6%","17.0%","5","7.8%","0","0.0%","40.3%","36.6%","23.1%","18.7%","40.3%","41.0%","5038"
"Evan Gattis","HOU",".232","0.78","16.9%","36.3%","46.8%","10.9%","17.0%","7","6.1%","0","0.0%","50.3%","28.7%","21.0%","18.2%","48.7%","33.1%","11003"
"Pablo Sandoval","SFG",".282","1.70","20.1%","50.3%","29.6%","13.2%","17.0%","5","5.6%","0","0.0%","33.5%","36.9%","29.6%","15.6%","43.6%","40.8%","5409"
"Jorge Soler","KCR",".340","1.38","19.2%","46.8%","34.0%","13.2%","17.0%","5","6.8%","0","0.0%","53.2%","26.9%","19.9%","17.3%","39.7%","42.9%","14221"
"Willy Adames","TBR",".378","1.71","17.5%","52.1%","30.4%","8.5%","16.9%","14","13.9%","0","0.0%","37.8%","35.2%","27.0%","17.3%","48.0%","34.7%","15986"
"Jose Ramirez","CLE",".252","0.73","20.7%","33.4%","45.9%","13.0%","16.9%","13","7.7%","0","0.0%","50.0%","30.2%","19.8%","18.3%","45.6%","36.1%","13510"
"Chad Pinder","OAK",".325","1.18","19.2%","43.8%","37.0%","9.1%","16.9%","3","3.3%","0","0.0%","37.7%","36.8%","25.5%","13.2%","40.6%","46.2%","15191"
"Robinson Chirinos","TEX",".304","0.61","21.3%","29.9%","48.9%","12.0%","16.7%","7","10.6%","1","100.0%","49.5%","31.5%","18.9%","14.9%","41.0%","44.1%","3142"
"Justin Smoak","TOR",".297","0.93","17.9%","39.5%","42.6%","7.3%","16.7%","7","5.0%","0","0.0%","49.1%","29.5%","21.3%","14.5%","51.7%","33.8%","9054"
"Jorge Alfaro","PHI",".406","1.65","23.2%","47.8%","29.0%","3.3%","16.7%","11","11.1%","0","0.0%","28.0%","40.1%","31.9%","14.5%","47.8%","37.7%","12180"
"Rafael Devers","BOS",".281","1.20","15.2%","46.2%","38.6%","15.7%","16.5%","16","10.5%","1","50.0%","37.2%","36.6%","26.3%","20.5%","45.0%","34.4%","17350"
"Ryan Zimmerman","WSN",".284","1.46","17.4%","48.9%","33.6%","7.6%","16.5%","7","6.1%","0","0.0%","31.5%","42.6%","26.0%","17.0%","43.4%","39.6%","4220"
"Manny Machado","- - -",".304","0.95","17.8%","40.0%","42.2%","11.6%","16.4%","9","4.2%","0","0.0%","38.1%","36.2%","25.7%","17.4%","43.9%","38.6%","11493"
"Mookie Betts","BOS",".368","0.75","21.2%","33.9%","44.9%","9.2%","16.4%","14","9.5%","0","0.0%","47.2%","34.8%","18.0%","12.2%","43.3%","44.5%","13611"
"Matt Olson","OAK",".292","0.83","21.1%","35.9%","43.1%","15.0%","16.1%","8","5.3%","0","0.0%","42.0%","33.9%","24.1%","13.8%","38.9%","47.3%","14344"
"Jose Abreu","CHW",".294","1.28","21.2%","44.2%","34.6%","13.9%","16.1%","10","5.7%","0","0.0%","39.1%","39.9%","21.0%","17.2%","44.9%","37.9%","15676"
"Ronald Guzman","TEX",".299","1.09","21.7%","40.8%","37.5%","10.0%","16.0%","5","4.6%","0","0.0%","37.8%","35.2%","27.0%","17.6%","49.4%","33.0%","14388"
"Rhys Hoskins","PHI",".272","0.56","19.2%","29.1%","51.7%","11.3%","16.0%","11","9.2%","0","0.0%","50.0%","31.1%","18.9%","19.9%","45.6%","34.5%","16472"
"Teoscar Hernandez","TOR",".313","0.83","19.9%","36.4%","43.7%","10.1%","15.9%","8","7.0%","0","0.0%","37.7%","36.1%","26.3%","15.8%","46.8%","37.3%","13066"
"Jonathan Schoop","- - -",".261","1.23","18.3%","45.2%","36.6%","19.7%","15.9%","11","6.7%","1","50.0%","43.3%","35.0%","21.8%","23.1%","49.0%","27.8%","11265"
"Mitch Haniger","SEA",".336","1.17","21.3%","42.4%","36.3%","9.1%","15.8%","15","7.8%","0","0.0%","44.8%","36.7%","18.5%","16.0%","46.8%","37.1%","14274"
"Miguel Andujar","NYY",".316","1.23","20.2%","44.0%","35.8%","14.5%","15.7%","23","10.9%","0","0.0%","47.5%","29.2%","23.3%","19.4%","44.6%","36.0%","15878"
"Matt Kemp","LAD",".339","0.92","26.8%","35.0%","38.1%","5.9%","15.6%","5","4.0%","0","0.0%","42.1%","35.9%","22.0%","13.8%","42.7%","43.5%","5631"
"Xander Bogaerts","BOS",".317","1.22","21.2%","43.3%","35.6%","10.8%","15.5%","16","8.9%","0","0.0%","43.4%","34.8%","21.8%","16.5%","45.6%","37.9%","12161"
"Niko Goodrum","DET",".312","1.34","22.8%","44.2%","33.0%","4.9%","15.5%","13","9.4%","2","100.0%","40.4%","31.2%","28.3%","15.9%","47.5%","36.6%","12092"
"Yairo Munoz","STL",".338","2.33","22.4%","54.3%","23.3%","1.9%","15.4%","8","6.6%","1","100.0%","37.9%","36.2%","25.9%","15.2%","47.8%","37.1%","16313"
"Cody Bellinger","LAD",".313","0.99","19.9%","40.0%","40.2%","16.5%","15.2%","18","11.0%","0","0.0%","45.2%","32.0%","22.7%","18.1%","41.8%","40.1%","15998"
"Jefry Marte","LAA",".240","1.83","15.0%","54.9%","30.1%","10.9%","15.2%","5","6.0%","0","0.0%","52.9%","28.8%","18.3%","19.0%","51.0%","30.1%","5107"
"Cory Spangenberg","SDP",".344","1.93","27.0%","48.1%","24.9%","2.2%","15.2%","10","11.2%","3","33.3%","33.5%","36.1%","30.4%","17.0%","47.4%","35.6%","12294"
"Matt Chapman","OAK",".338","1.03","20.4%","40.3%","39.3%","13.9%","15.2%","9","5.6%","0","0.0%","40.4%","35.0%","24.6%","16.1%","40.7%","43.2%","16505"
"Mark Canha","OAK",".282","0.95","21.9%","38.0%","40.1%","14.3%","15.2%","14","13.2%","0","0.0%","44.8%","34.1%","21.1%","18.6%","44.1%","37.3%","11445"
"Aaron Altherr","PHI",".247","1.38","18.2%","47.4%","34.4%","15.1%","15.1%","6","8.2%","0","0.0%","38.3%","39.6%","22.1%","21.4%","41.6%","37.0%","11270"
"Austin Hedges","SDP",".280","0.87","18.3%","38.0%","43.7%","11.8%","15.1%","8","9.9%","0","0.0%","48.1%","33.2%","18.7%","25.2%","37.9%","36.9%","12976"
"Mikie Mahtook","DET",".238","1.17","18.2%","44.0%","37.7%","13.3%","15.0%","8","11.4%","1","100.0%","47.5%","30.0%","22.5%","20.6%","53.1%","26.3%","13130"
